TestNo,Username,Started.on,Completed,Time.taken,Grade.6.00,Q1_seed,Q1_problem,Q1_solution,Q1_mistakes,Q1_ans,Q1_validity,Q1_score,Q1_prt,Q2_seed,Q2_problem,Q2_solution,Q2_mistakes,Q2_ans,Q2_validity,Q2_score,Q2_prt,Q3_seed,Q3_problem,Q3_solution,Q3_mistakes,Q3_ans,Q3_validity,Q3_score,Q3_prt,Q4_seed,Q4_problem,Q4_solution,Q4_mistakes,Q4_ans,Q4_validity,Q4_score,Q4_prt,Q5_seed,Q5_problem,Q5_solution,Q5_mistakes,Q5_ans,Q5_validity,Q5_score,Q5_prt,Q6_seed,Q6_problem,Q6_solution,Q6_mistakes,Q6_ans,Q6_validity,Q6_score,Q6_prt,Q1_anticipate,Q2_anticipate,Q3_anticipate,Q4_anticipate,Q5_anticipate,Q6_anticipate
T354,user130,10-11-22 20:19,10-11-22 21:08,48 mins 41 secs,4.0,831674,\(\int{\frac{5}{z}} d{a}\),5*log(abs(z))+c,\({5\cdot \ln \left( \left| z\right| \right)}\),5*ln(|z|)+C,score,0,# = 0 | ATAlgEquiv_WrongCase. | prt1-1-F | prt1-2-F,145406,\({{\left(10\cdot x+8\right)}^5}\),(50000*x^6)/3+80000*x^5+160000*x^4+(512000*x^3)/3+102400*x^2+32768*x+c,\({\frac{50000\cdot x^6}{3}+80000\cdot x^5+160000\cdot x^4+\frac{512000\cdot x^3}{3}+102400\cdot x^2+32768\cdot x}\);\({\frac{6\cdot {\left(10\cdot x+8\right)}^6}{5}+c}\);\({\frac{3\cdot {\left(10\cdot x+8\right)}^6}{5}+c}\),(10*x+8)^6/60+C,score,1,# = 1 | ATInt_true. | prt1-1-T,624309187,\(\int{x^{\frac{5}{7}}} dx\),(7*x^(12/7))/12+c,\({\frac{7\cdot x^{\frac{12}{7}}}{12}}\);\({x^{\frac{12}{7}}+c}\);\({\frac{5}{7\cdot x^{\frac{2}{7}}}}\);\({\frac{12\cdot x^{\frac{12}{7}}}{7}+c}\),7/12*x^(12/7)+C,score,1.0,# = 1 | ATInt_true. | prt1-1-T,1985689564,\(\int{\frac{8}{x^{\frac{5}{2}}}} dx\),c-16/(3*x^(3/2)),\({-\frac{16}{3\cdot x^{\frac{3}{2}}}}\);\({-\frac{8}{x^{\frac{5}{2}}}}\);\({\frac{16}{3\cdot x^{\frac{3}{2}}}+c}\);\({-\frac{20}{x^{\frac{7}{2}}}}\),-16/3*x^(-3/2)+C,score,1.0,# = 1 | ATInt_true. | prt1-1-T,389428,\(\int{{\left(8\cdot z+5\right)}^{11}} d{z}\),(8*z+5)^12/96+c,\({88\cdot {\left(8\cdot z+5\right)}^{10}}\);\({\frac{u^{11}+1}{12}}\),(8*z+5)^12/96+C,score,0,# = 0 | ATAlgEquiv_WrongCase. | prt1-1-F | prt1-2-F,701584,"\(\int{\frac{9\,x}{{\left(x^2-5\right)}^{\frac{1}{9}}}} dx\)",(81*(x^2-5)^(8/9))/16+c,"\({\frac{81\,{\left(x^2-5\right)}^{\frac{8}{9}}}{16}}\);\({\frac{u^{10}}{100}+c}\);\({\frac{9}{{\left(x^2-5\right)}^{\frac{1}{9}}}-\frac{2\,x^2}{{\left(x^2-5\right)}^{\frac{10}{9}}}}\)",81/16*(x^2-5)^(8/9)+C,score,1.0,# = 1 | ATInt_true. | prt1-1-T,0,-1,-1,-1,0,-1
T355,user130,10-12-22 11:20,10-12-22 11:52,32 mins 26 secs,4.0,395635,\(\int{\frac{6}{p}} d{a}\),6*log(abs(p))+c,\({6\cdot \ln \left( \left| p\right| \right)}\),6*log(abs(p))+C,score,0,# = 0 | ATAlgEquiv_WrongCase. | prt1-1-F | prt1-2-F,26191,\({{\left(9\cdot x+5\right)}^4}\),(6561*x^5)/5+3645*x^4+4050*x^3+2250*x^2+625*x+c,\({\frac{6561\cdot x^5}{5}+3645\cdot x^4+4050\cdot x^3+2250\cdot x^2+625\cdot x}\);\({\frac{5\cdot {\left(9\cdot x+5\right)}^5}{4}+c}\);\({\frac{5\cdot {\left(9\cdot x+5\right)}^5}{9}+c}\),(9*x+5)^5/45+C,score,1,# = 1 | ATInt_true. | prt1-1-T,826591576,\(\int{\sqrt{x}} dx\),(2*x^(3/2))/3+c,\({\frac{2\cdot x^{\frac{3}{2}}}{3}}\);\({x^{\frac{3}{2}}+c}\);\({\frac{1}{2\cdot \sqrt{x}}}\);\({\frac{3\cdot x^{\frac{3}{2}}}{2}+c}\),2/3*x^(3/2)+C,score,1.0,# = 1 | ATInt_true. | prt1-1-T,591262866,\(\int{\frac{6}{x^{\frac{11}{2}}}} dx\),c-4/(3*x^(9/2)),\({-\frac{4}{3\cdot x^{\frac{9}{2}}}}\);\({-\frac{6}{x^{\frac{11}{2}}}}\);\({\frac{4}{3\cdot x^{\frac{9}{2}}}+c}\);\({-\frac{33}{x^{\frac{13}{2}}}}\),-4/3*x^(-9/2)+C,score,1.0,# = 1 | ATInt_true. | prt1-1-T,153616,\(\int{{\left(3-4\cdot t\right)}^{12}} d{t}\),c-(3-4*t)^13/52,\({-48\cdot {\left(3-4\cdot t\right)}^{11}}\);\({\frac{u^{12}+1}{13}}\),(4*t-3)^3/12+C,score,0,# = 0 | prt1-1-F | prt1-2-F,102985,"\(\int{\frac{9\,x}{\sqrt{x^2-4}}} dx\)",9*sqrt(x^2-4)+c,"\({9\,\sqrt{x^2-4}}\);\({\frac{u^3}{9}+c}\);\({\frac{9}{\sqrt{x^2-4}}-\frac{9\,x^2}{{\left(x^2-4\right)}^{\frac{3}{2}}}}\)",9*(x^2-4)^(1/2)+C,score,1.0,# = 1 | ATInt_true. | prt1-1-T,0,-1,-1,-1,0,-1
T356,user130,10-12-22 11:57,10-12-22 12:19,21 mins 53 secs,5.0,470934,\(\int{\frac{13}{r}} d{a}\),13*log(abs(r))+c,\({13\cdot \ln \left( \left| r\right| \right)}\),13*log(abs(r))+c,score,1,# = 1 | prt1-1-T,349534,\({{\left(6\cdot x+3\right)}^3}\),54*x^4+108*x^3+81*x^2+27*x+c,\({54\cdot x^4+108\cdot x^3+81\cdot x^2+27\cdot x}\);\({\frac{4\cdot {\left(6\cdot x+3\right)}^4}{3}+c}\);\({\frac{2\cdot {\left(6\cdot x+3\right)}^4}{3}+c}\),(6*x+3)^4/24+c,score,1,# = 1 | ATInt_true. | prt1-1-T,1521519531,\(\int{x^{\frac{1}{3}}} dx\),(3*x^(4/3))/4+c,\({\frac{3\cdot x^{\frac{4}{3}}}{4}}\);\({x^{\frac{4}{3}}+c}\);\({\frac{1}{3\cdot x^{\frac{2}{3}}}}\);\({\frac{4\cdot x^{\frac{4}{3}}}{3}+c}\),3/4*x^(4/3)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,361454145,\(\int{\frac{4}{x^{\frac{9}{2}}}} dx\),c-8/(7*x^(7/2)),\({-\frac{8}{7\cdot x^{\frac{7}{2}}}}\);\({-\frac{4}{x^{\frac{9}{2}}}}\);\({\frac{8}{7\cdot x^{\frac{7}{2}}}+c}\);\({-\frac{18}{x^{\frac{11}{2}}}}\),-8/7*x^(-7/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,316675,\(\int{{\left(3-3\cdot x\right)}^{15}} d{x}\),c-(3-3*x)^16/48,\({-45\cdot {\left(3-3\cdot x\right)}^{14}}\);\({\frac{u^{15}+1}{16}}\),(3*x-3)^16/48+c,score,0,# = 0 | prt1-1-F | prt1-2-F,77910,"\(\int{\frac{8\,x}{{\left(x^2-2\right)}^{\frac{1}{6}}}} dx\)",(24*(x^2-2)^(5/6))/5+c,"\({\frac{24\,{\left(x^2-2\right)}^{\frac{5}{6}}}{5}}\);\({\frac{u^7}{49}+c}\);\({\frac{8}{{\left(x^2-2\right)}^{\frac{1}{6}}}-\frac{8\,x^2}{3\,{\left(x^2-2\right)}^{\frac{7}{6}}}}\)",24/5*(x^2-2)^(5/6)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,-1,-1,-1,-1,0,-1
T357,user130,10/20/2022 20:18,10/20/2022 20:34,16 mins 50 secs,5.0,289905,\(\int{\frac{2}{p}} d{a}\),2*log(abs(p))+c,\({2\cdot \ln \left( \left| p\right| \right)}\),2*ln(|p|)+c,score,1,# = 1 | prt1-1-T,379302,\({{\left(6\cdot x+5\right)}^5}\),1296*x^6+6480*x^5+13500*x^4+15000*x^3+9375*x^2+3125*x+c,\({1296\cdot x^6+6480\cdot x^5+13500\cdot x^4+15000\cdot x^3+9375\cdot x^2+3125\cdot x}\);\({\frac{6\cdot {\left(6\cdot x+5\right)}^6}{5}+c}\);\({{\left(6\cdot x+5\right)}^6+c}\),(6*x+5)^6/36+c,score,1,# = 1 | ATInt_true. | prt1-1-T,677736740,\(\int{x^{\frac{8}{5}}} dx\),(5*x^(13/5))/13+c,\({\frac{5\cdot x^{\frac{13}{5}}}{13}}\);\({x^{\frac{13}{5}}+c}\);\({\frac{8\cdot x^{\frac{3}{5}}}{5}}\);\({\frac{13\cdot x^{\frac{13}{5}}}{5}+c}\),5*x^(13/5)/13+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,196682006,\(\int{\frac{10}{x^{\frac{3}{2}}}} dx\),c-20/sqrt(x),\({-\frac{20}{\sqrt{x}}}\);\({-\frac{10}{x^{\frac{3}{2}}}}\);\({\frac{20}{\sqrt{x}}+c}\);\({-\frac{15}{x^{\frac{5}{2}}}}\),c-20/sqrt(x),score,1.0,# = 1 | ATInt_true. | prt1-1-T,858606,\(\int{{\left(8\cdot x+3\right)}^{10}} d{x}\),(8*x+3)^11/88+c,\({80\cdot {\left(8\cdot x+3\right)}^9}\);\({\frac{u^{10}+1}{11}}\),(8*x+3)^11/88+c,score,1,# = 1 | prt1-1-T,193843,"\(\int{\frac{2\,x}{{\left(x^2-7\right)}^{\frac{1}{3}}}} dx\)",(3*(x^2-7)^(2/3))/2+c,"\({\frac{3\,{\left(x^2-7\right)}^{\frac{2}{3}}}{2}}\);\({\frac{u^4}{16}+c}\);\({\frac{2}{{\left(x^2-7\right)}^{\frac{1}{3}}}-\frac{4\,x^2}{3\,{\left(x^2-7\right)}^{\frac{4}{3}}}}\)",ln(|x^2-7^(1/3)|)+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,-1,-1,-1,-1,-1,0
T358,user130,11-08-22 19:14,11-08-22 19:50,36 mins,6.0,837187,\(\int{\frac{13}{y}} d{a}\),13*log(abs(y))+c,\({13\cdot \ln \left( \left| y\right| \right)}\),13*log(|y|)+c,score,1,# = 1 | prt1-1-T,144216,\({{\left(3\cdot x+4\right)}^2}\),3*x^3+12*x^2+16*x+c,\({3\cdot x^3+12\cdot x^2+16\cdot x}\);\({\frac{3\cdot {\left(3\cdot x+4\right)}^3}{2}+c}\);\({{\left(3\cdot x+4\right)}^3+c}\),(3*x+4)^3/9+c,score,1,# = 1 | ATInt_true. | prt1-1-T,1002486887,\(\int{x^{\frac{4}{5}}} dx\),(5*x^(9/5))/9+c,\({\frac{5\cdot x^{\frac{9}{5}}}{9}}\);\({x^{\frac{9}{5}}+c}\);\({\frac{4}{5\cdot x^{\frac{1}{5}}}}\);\({\frac{9\cdot x^{\frac{9}{5}}}{5}+c}\),5*x^(9/5)/9+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,1401213726,\(\int{\frac{3}{x^{\frac{11}{2}}}} dx\),c-2/(3*x^(9/2)),\({-\frac{2}{3\cdot x^{\frac{9}{2}}}}\);\({-\frac{3}{x^{\frac{11}{2}}}}\);\({\frac{2}{3\cdot x^{\frac{9}{2}}}+c}\);\({-\frac{33}{2\cdot x^{\frac{13}{2}}}}\),c-2/(3*x^(9/2)),score,1.0,# = 1 | ATInt_true. | prt1-1-T,699117,\(\int{{\left(4\cdot t+3\right)}^{16}} d{t}\),(4*t+3)^17/68+c,\({64\cdot {\left(4\cdot t+3\right)}^{15}}\);\({\frac{u^{16}+1}{17}}\),(4*t+3)^17/68+c,score,1,# = 1 | prt1-1-T,159233,"\(\int{\frac{7\,x}{{\left(x^2-4\right)}^{\frac{1}{3}}}} dx\)",(21*(x^2-4)^(2/3))/4+c,"\({\frac{21\,{\left(x^2-4\right)}^{\frac{2}{3}}}{4}}\);\({\frac{u^4}{16}+c}\);\({\frac{7}{{\left(x^2-4\right)}^{\frac{1}{3}}}-\frac{14\,x^2}{3\,{\left(x^2-4\right)}^{\frac{4}{3}}}}\)",21/4*(x^2-4)^(2/3)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,-1,-1,-1,-1,-1,-1
T359,user131,10-10-22 9:52,10-11-22 17:54,1 day 8 hours,0.0,382087,\(\int{\frac{12}{p}} d{a}\),12*log(abs(p))+c,\({12\cdot \ln \left( \left| p\right| \right)}\),0,score,0,# = 0 | prt1-1-F | prt1-2-F,439329,\({{\left(3\cdot x+5\right)}^4}\),(81*x^5)/5+135*x^4+450*x^3+750*x^2+625*x+c,\({\frac{81\cdot x^5}{5}+135\cdot x^4+450\cdot x^3+750\cdot x^2+625\cdot x}\);\({\frac{5\cdot {\left(3\cdot x+5\right)}^5}{4}+c}\);\({\frac{5\cdot {\left(3\cdot x+5\right)}^5}{3}+c}\),1/(3*x+5)^4,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,1204552031,\(\int{x^{\frac{7}{2}}} dx\),(2*x^(9/2))/9+c,\({\frac{2\cdot x^{\frac{9}{2}}}{9}}\);\({x^{\frac{9}{2}}+c}\);\({\frac{7\cdot x^{\frac{5}{2}}}{2}}\);\({\frac{9\cdot x^{\frac{9}{2}}}{2}+c}\),7/2*x^(32/14),score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,628848175,\(\int{\frac{9}{x^{\frac{11}{2}}}} dx\),c-2/x^(9/2),\({-\frac{2}{x^{\frac{9}{2}}}}\);\({-\frac{9}{x^{\frac{11}{2}}}}\);\({\frac{2}{x^{\frac{9}{2}}}+c}\);\({-\frac{99}{2\cdot x^{\frac{13}{2}}}}\),(x^5*x^(1/2)/9,invalid,0.0,!,855348,\(\int{{\left(8\cdot x+4\right)}^{14}} d{x}\),(8*x+4)^15/120+c,\({112\cdot {\left(8\cdot x+4\right)}^{13}}\);\({\frac{u^{14}+1}{15}}\),8^14,score,0,# = 0 | prt1-1-F | prt1-2-F,551714,"\(\int{\frac{2\,x}{{\left(x^2-5\right)}^{\frac{1}{9}}}} dx\)",(9*(x^2-5)^(8/9))/8+c,"\({\frac{9\,{\left(x^2-5\right)}^{\frac{8}{9}}}{8}}\);\({\frac{u^{10}}{100}+c}\);\({\frac{2}{{\left(x^2-5\right)}^{\frac{1}{9}}}-\frac{4\,x^2}{9\,{\left(x^2-5\right)}^{\frac{10}{9}}}}\)",x^2-5,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,0,0,0,-1,0,0
T360,user131,10-11-22 18:21,10-11-22 19:38,1 hour 16 mins,2.0,201255,\(\int{\frac{6}{p}} d{a}\),6*log(abs(p))+c,\({6\cdot \ln \left( \left| p\right| \right)}\),6*log(abs(p))+c,score,1,# = 1 | prt1-1-T,193505,\({{\left(2\cdot x+4\right)}^2}\),(4*x^3)/3+8*x^2+16*x+c,\({\frac{4\cdot x^3}{3}+8\cdot x^2+16\cdot x}\);\({\frac{3\cdot {\left(2\cdot x+4\right)}^3}{2}+c}\);\({\frac{3\cdot {\left(2\cdot x+4\right)}^3}{2}+c}\),4/3*x^3+48*x^2+96*x+c,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,532953273,\(\int{x^{\frac{2}{3}}} dx\),(3*x^(5/3))/5+c,\({\frac{3\cdot x^{\frac{5}{3}}}{5}}\);\({x^{\frac{5}{3}}+c}\);\({\frac{2}{3\cdot x^{\frac{1}{3}}}}\);\({\frac{5\cdot x^{\frac{5}{3}}}{3}+c}\),((3*x)^(5/3))/5+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,1735101288,\(\int{\frac{8}{x^{\frac{5}{2}}}} dx\),c-16/(3*x^(3/2)),\({-\frac{16}{3\cdot x^{\frac{3}{2}}}}\);\({-\frac{8}{x^{\frac{5}{2}}}}\);\({\frac{16}{3\cdot x^{\frac{3}{2}}}+c}\);\({-\frac{20}{x^{\frac{7}{2}}}}\),-(16/3)*x^(-3/2)+c,score,1.0,# = 1 | ATInt_true. | prt1-1-T,62575,\(\int{{\left(2-t\right)}^{11}} d{t}\),c-(2-t)^12/12,\({-11\cdot {\left(2-t\right)}^{10}}\);\({\frac{u^{11}+1}{12}}\),-12*(2-t)^12+c,score,0,# = 0 | prt1-1-F | prt1-2-F,117893,"\(\int{\frac{5\,x}{{\left(x^2-2\right)}^{\frac{1}{3}}}} dx\)",(15*(x^2-2)^(2/3))/4+c,"\({\frac{15\,{\left(x^2-2\right)}^{\frac{2}{3}}}{4}}\);\({\frac{u^4}{16}+c}\);\({\frac{5}{{\left(x^2-2\right)}^{\frac{1}{3}}}-\frac{10\,x^2}{3\,{\left(x^2-2\right)}^{\frac{4}{3}}}}\)",(3*(x^2-2)^(2/3))/2+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,-1,0,0,-1,0,0
T361,user131,10-11-22 21:23,10-11-22 22:06,43 mins 43 secs,3.0,272964,\(\int{\frac{14}{t}} d{a}\),14*log(abs(t))+c,\({14\cdot \ln \left( \left| t\right| \right)}\),14*log(abs(t))+c,score,1,# = 1 | prt1-1-T,593384,\({{\left(5\cdot x+6\right)}^2}\),(25*x^3)/3+30*x^2+36*x+c,\({\frac{25\cdot x^3}{3}+30\cdot x^2+36\cdot x}\);\({\frac{3\cdot {\left(5\cdot x+6\right)}^3}{2}+c}\);\({\frac{3\cdot {\left(5\cdot x+6\right)}^3}{5}+c}\),25/3*x^3+30*x^2+54/5*x+c,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,1124130496,\(\int{x^{\frac{7}{8}}} dx\),(8*x^(15/8))/15+c,\({\frac{8\cdot x^{\frac{15}{8}}}{15}}\);\({x^{\frac{15}{8}}+c}\);\({\frac{7}{8\cdot x^{\frac{1}{8}}}}\);\({\frac{15\cdot x^{\frac{15}{8}}}{8}+c}\),((8*x)^(15/8))/15+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,268316149,\(\int{\frac{6}{x^{\frac{3}{2}}}} dx\),c-12/sqrt(x),\({-\frac{12}{\sqrt{x}}}\);\({-\frac{6}{x^{\frac{3}{2}}}}\);\({\frac{12}{\sqrt{x}}+c}\);\({-\frac{9}{x^{\frac{5}{2}}}}\),c-12/x^(1/2),score,1.0,# = 1 | ATInt_true. | prt1-1-T,634862,\(\int{{\left(4\cdot z+2\right)}^{16}} d{z}\),(4*z+2)^17/68+c,\({64\cdot {\left(4\cdot z+2\right)}^{15}}\);\({\frac{u^{16}+1}{17}}\),(4*z+2)^17/68+c,score,1,# = 1 | prt1-1-T,521981,"\(\int{\frac{5\,x}{\sqrt{x^2-5}}} dx\)",5*sqrt(x^2-5)+c,"\({5\,\sqrt{x^2-5}}\);\({\frac{u^3}{9}+c}\);\({\frac{5}{\sqrt{x^2-5}}-\frac{5\,x^2}{{\left(x^2-5\right)}^{\frac{3}{2}}}}\)",(2*(x^2-5)^(1/2))+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,-1,0,0,-1,-1,0
T362,user131,10-11-22 22:18,10-11-22 22:56,38 mins 25 secs,2.0,731841,\(\int{\frac{2}{p}} d{a}\),2*log(abs(p))+c,\({2\cdot \ln \left( \left| p\right| \right)}\),2*log(abs(p))+c,score,1,# = 1 | prt1-1-T,147428,\({{\left(9\cdot x+1\right)}^6}\),(9*x+1)^7/63+c,\({\frac{{\left(9\cdot x+1\right)}^7}{63}}\);\({\frac{7\cdot {\left(9\cdot x+1\right)}^7}{6}+c}\);\({\frac{7\cdot {\left(9\cdot x+1\right)}^7}{9}+c}\),531441/7*x^7+59049*x^6+6561*x^5+729*x^4+81*x^3+9*x^2+x+c,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,826591576,\(\int{\sqrt{x}} dx\),(2*x^(3/2))/3+c,\({\frac{2\cdot x^{\frac{3}{2}}}{3}}\);\({x^{\frac{3}{2}}+c}\);\({\frac{1}{2\cdot \sqrt{x}}}\);\({\frac{3\cdot x^{\frac{3}{2}}}{2}+c}\),((2*x)^(3/2))/3+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,1365000240,\(\int{\frac{8}{x^{\frac{11}{2}}}} dx\),c-16/(9*x^(9/2)),\({-\frac{16}{9\cdot x^{\frac{9}{2}}}}\);\({-\frac{8}{x^{\frac{11}{2}}}}\);\({\frac{16}{9\cdot x^{\frac{9}{2}}}+c}\);\({-\frac{44}{x^{\frac{13}{2}}}}\),c-16/(9*x^(9/2)),score,1.0,# = 1 | ATInt_true. | prt1-1-T,369924,\(\int{{\left(1-2\cdot x\right)}^9} d{x}\),c-(1-2*x)^10/20,\({-18\cdot {\left(1-2\cdot x\right)}^8}\);\({\frac{u^9+1}{10}}\),c-(1-2*x)^10/10,score,0,# = 0 | prt1-1-F | prt1-2-F,720050,"\(\int{\frac{8\,x}{{\left(x^2-4\right)}^{\frac{1}{8}}}} dx\)",(32*(x^2-4)^(7/8))/7+c,"\({\frac{32\,{\left(x^2-4\right)}^{\frac{7}{8}}}{7}}\);\({\frac{u^9}{81}+c}\);\({\frac{8}{{\left(x^2-4\right)}^{\frac{1}{8}}}-\frac{2\,x^2}{{\left(x^2-4\right)}^{\frac{9}{8}}}}\)",(8*(x^2-4)^(7/8))/7+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,-1,0,0,-1,0,0
T363,user131,10-12-22 8:13,10-12-22 8:44,31 mins 27 secs,3.0,739074,\(\int{\frac{15}{z}} d{a}\),15*log(abs(z))+c,\({15\cdot \ln \left( \left| z\right| \right)}\),15*log(abs(z))+c,score,1,# = 1 | prt1-1-T,16726,\({{\left(9\cdot x+7\right)}^3}\),(729*x^4)/4+567*x^3+(1323*x^2)/2+343*x+c,\({\frac{729\cdot x^4}{4}+567\cdot x^3+\frac{1323\cdot x^2}{2}+343\cdot x}\);\({\frac{4\cdot {\left(9\cdot x+7\right)}^4}{3}+c}\);\({\frac{4\cdot {\left(9\cdot x+7\right)}^4}{9}+c}\),(9*x+7)^4/36+c,score,1,# = 1 | ATInt_true. | prt1-1-T,1002486887,\(\int{x^{\frac{4}{5}}} dx\),(5*x^(9/5))/9+c,\({\frac{5\cdot x^{\frac{9}{5}}}{9}}\);\({x^{\frac{9}{5}}+c}\);\({\frac{4}{5\cdot x^{\frac{1}{5}}}}\);\({\frac{9\cdot x^{\frac{9}{5}}}{5}+c}\),((5*x)^(9/5))/9+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,28370616,\(\int{\frac{6}{x^{\frac{11}{2}}}} dx\),c-4/(3*x^(9/2)),\({-\frac{4}{3\cdot x^{\frac{9}{2}}}}\);\({-\frac{6}{x^{\frac{11}{2}}}}\);\({\frac{4}{3\cdot x^{\frac{9}{2}}}+c}\);\({-\frac{33}{x^{\frac{13}{2}}}}\),c-12/9*x^(9/2),score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,977052,\(\int{{\left(2\cdot t+5\right)}^{15}} d{t}\),(2*t+5)^16/32+c,\({30\cdot {\left(2\cdot t+5\right)}^{14}}\);\({\frac{u^{15}+1}{16}}\),(2*t+5)^16/32+c,score,1,# = 1 | prt1-1-T,892294,"\(\int{\frac{8\,x}{{\left(x^2-7\right)}^{\frac{1}{3}}}} dx\)",6*(x^2-7)^(2/3)+c,"\({6\,{\left(x^2-7\right)}^{\frac{2}{3}}}\);\({\frac{u^4}{16}+c}\);\({\frac{8}{{\left(x^2-7\right)}^{\frac{1}{3}}}-\frac{16\,x^2}{3\,{\left(x^2-7\right)}^{\frac{4}{3}}}}\)",(24*(x^2-7)^(2/3))/2+c,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,-1,-1,0,0,-1,0
T364,user131,10-12-22 8:47,10-12-22 9:28,40 mins 29 secs,2.0,745820,\(\int{\frac{5}{r}} d{a}\),5*log(abs(r))+c,\({5\cdot \ln \left( \left| r\right| \right)}\),5*log(abs(r))+c,score,1,# = 1 | prt1-1-T,416827,\({{\left(10\cdot x+6\right)}^5}\),(50000*x^6)/3+60000*x^5+90000*x^4+72000*x^3+32400*x^2+7776*x+c,\({\frac{50000\cdot x^6}{3}+60000\cdot x^5+90000\cdot x^4+72000\cdot x^3+32400\cdot x^2+7776\cdot x}\);\({\frac{6\cdot {\left(10\cdot x+6\right)}^6}{5}+c}\);\({\frac{3\cdot {\left(10\cdot x+6\right)}^6}{5}+c}\),50000/3*x^6+60000*x^5+120000*x^4+54000*x^3+12960*x^2+1296*x+c,score,0,# = 0 | ATInt_generic. | prt1-1-F | ATInt_generic. | prt1-2-F | ATInt_generic. | prt1-3-F | ATInt_generic. | prt1-4-F | ATInt_generic. | prt1-5-F,705367860,\(\int{x^{\frac{1}{3}}} dx\),(3*x^(4/3))/4+c,\({\frac{3\cdot x^{\frac{4}{3}}}{4}}\);\({x^{\frac{4}{3}}+c}\);\({\frac{1}{3\cdot x^{\frac{2}{3}}}}\);\({\frac{4\cdot x^{\frac{4}{3}}}{3}+c}\),(3*x)^(4/3))/4+c,invalid,0.0,!,2106834607,\(\int{\frac{5}{x^{\frac{7}{2}}}} dx\),c-2/x^(5/2),\({-\frac{2}{x^{\frac{5}{2}}}}\);\({-\frac{5}{x^{\frac{7}{2}}}}\);\({\frac{2}{x^{\frac{5}{2}}}+c}\);\({-\frac{35}{2\cdot x^{\frac{9}{2}}}}\),c-10/5*x^(5/2),score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F,717008,\(\int{{\left(8\cdot z+2\right)}^{10}} d{z}\),(8*z+2)^11/88+c,\({80\cdot {\left(8\cdot z+2\right)}^9}\);\({\frac{u^{10}+1}{11}}\),(8*z+2)^11/88+c,score,1,# = 1 | prt1-1-T,439218,"\(\int{\frac{7\,x}{\sqrt{x^2-3}}} dx\)",7*sqrt(x^2-3)+c,"\({7\,\sqrt{x^2-3}}\);\({\frac{u^3}{9}+c}\);\({\frac{7}{\sqrt{x^2-3}}-\frac{7\,x^2}{{\left(x^2-3\right)}^{\frac{3}{2}}}}\)",3*(x-3)^(4/3)/28,score,0.0,# = 0 | ATInt_generic. | prt1-1-F | prt1-2-F,-1,0,-1,0,-1,0
